                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.95023,                0.47787,                0.86423,                0.50862,                0.60137,                 0.5554,                0.36224,                0.87936,                0.36574,                0.99594,               0.002773,               0.002773,               0.002773
                     76,                0.94551,                0.47092,                0.86411,                0.50613,                0.59886,                0.55227,                 0.3624,                0.87937,                 0.3656,                0.99645,               0.002674,               0.002674,               0.002674
                     77,                0.92579,                0.46234,                0.86297,                 0.5031,                0.59612,                0.54818,                0.36055,                0.87871,                 0.3696,                0.99674,               0.002575,               0.002575,               0.002575
                     78,                0.94011,                0.46816,                0.86582,                0.52209,                0.57419,                 0.5475,                0.36058,                0.87643,                0.37178,                0.99683,               0.002476,               0.002476,               0.002476
                     79,                0.92537,                0.46216,                0.86102,                0.53518,                0.56302,                0.54557,                0.36044,                0.86921,                 0.3729,                0.99509,               0.002377,               0.002377,               0.002377
                     80,                0.92403,                0.45981,                0.85849,                0.54281,                0.56223,                 0.5449,                0.36259,                0.86764,                0.37495,                0.99503,               0.002278,               0.002278,               0.002278
                     81,                 0.9229,                0.45685,                0.86128,                0.53791,                0.56167,                0.54658,                0.36249,                0.86853,                0.37782,                0.99586,               0.002179,               0.002179,               0.002179
                     82,                 0.9229,                0.46039,                0.85956,                0.55046,                0.55182,                0.54745,                0.36249,                0.86594,                0.37999,                0.99459,                0.00208,                0.00208,                0.00208
                     83,                 0.9184,                0.45406,                0.85928,                0.55627,                0.55306,                0.54816,                 0.3624,                0.86832,                0.38082,                0.99451,               0.001981,               0.001981,               0.001981
                     84,                0.92288,                 0.4566,                0.85987,                0.52766,                0.57827,                0.55192,                0.36373,                0.86934,                0.38651,                0.99419,               0.001882,               0.001882,               0.001882
                     85,                0.91459,                0.45124,                0.85824,                0.54031,                0.57174,                0.55111,                0.36326,                0.86716,                0.39066,                0.99314,               0.001783,               0.001783,               0.001783
                     86,                0.91295,                0.44969,                0.85872,                0.52625,                0.57997,                0.55036,                0.36218,                 0.8666,                 0.3894,                0.99262,               0.001684,               0.001684,               0.001684
                     87,                0.91336,                0.44731,                0.85847,                 0.5214,                0.58246,                0.55243,                0.36385,                0.86688,                0.39086,                0.99238,               0.001585,               0.001585,               0.001585
